RADIX company_id,FILE TYPE,Blacknight Location,Blacknight Filename,File Suffix,Transfer Company Doc,Target Site Destination Folder,Target Site File Name,name,description
123,H&S Plan,/var/www/html/public/uploads/companies/123,6740,.pdf,TRANSFER,,2017 06 28 12.16  - Exigent Network Integration Ltd t.a ITS Irish Telecom Services Ltd Confirmation of Cover 2017 (1).pdf,2017 06 28 12.16  - Exigent Network Integration Ltd t.a ITS Irish Telecom Services Ltd Confirmation of Cover 2017 (1).pdf,EL & PL
142,Method Statement,/var/www/html/public/uploads/companies/142,8076,.pdf,TRANSFER,,MS_TSS_1_v1.0 - Fibre Installation_RAMS.pdf,MS_TSS_1_v1.0 - Fibre Installation_RAMS.pdf,Fibre Install
121,Method Statement,/var/www/html/public/uploads/companies/121,8077,.pdf,TRANSFER,,MS_Nova_1_v1.0 - Equipment Decommission.pdf,MS_Nova_1_v1.0 - Equipment Decommission.pdf,Equipment decommission
121,Method Statement,/var/www/html/public/uploads/companies/121,8078,.pdf,TRANSFER,,MS_Nova_2_v1.0 - Installation & Maintenance.pdf,MS_Nova_2_v1.0 - Installation & Maintenance.pdf,Install & Maintenance 
32,H&S Plan,/var/www/html/public/uploads/companies/32,8719,.pdf,TRANSFER,,Cert of EL PL cover 2018-2019.PDF,Cert of EL PL cover 2018-2019.PDF,EL & PL
117,Method Statement,/var/www/html/public/uploads/companies/117,9009,.pdf,TRANSFER,,MS_4S_1_v1_Climbing Survey.pdf,MS_4S_1_v1_Climbing Survey.pdf,Climbing Survey
117,Method Statement,/var/www/html/public/uploads/companies/117,9010,.pdf,TRANSFER,,MS_4S_3_V3_Structural Analysis - Climbdown Survey.pdf,MS_4S_3_V3_Structural Analysis - Climbdown Survey.pdf,SA Climbdown survey MS
117,Method Statement,/var/www/html/public/uploads/companies/117,9011,.pdf,TRANSFER,,MS_4S_2_V2_Ground Visual Survey.pdf,MS_4S_2_V2_Ground Visual Survey.pdf,Ground Visual Survey MS
62,Method Statement,/var/www/html/public/uploads/companies/62,9018,.pdf,TRANSFER,,MS_SUR_2 _v1_Ground_Works.pdf,MS_SUR_2 _v1_Ground_Works.pdf,Ground Works
62,Method Statement,/var/www/html/public/uploads/companies/62,9019,.pdf,TRANSFER,,MS_SUR_3_v1_ Line_of_sight.pdf,MS_SUR_3_v1_ Line_of_sight.pdf,LOS
62,Method Statement,/var/www/html/public/uploads/companies/62,9020,.pdf,TRANSFER,,MS_SUR_1_v1_Site_survey.pdf,MS_SUR_1_v1_Site_survey.pdf,Site Survey
62,Method Statement,/var/www/html/public/uploads/companies/62,9021,.pdf,TRANSFER,,MS_SUR_4_v1_Link_installations.pdf,MS_SUR_4_v1_Link_installations.pdf,Link install
62,Method Statement,/var/www/html/public/uploads/companies/62,9022,.pdf,TRANSFER,,MS_SUR_5_v1_New_Rig_Install.pdf,MS_SUR_5_v1_New_Rig_Install.pdf,New Rig install
62,Method Statement,/var/www/html/public/uploads/companies/62,9023,.pdf,TRANSFER,,MS_SUR_6_v1_Pan_Antenna.pdf,MS_SUR_6_v1_Pan_Antenna.pdf,Pan Antenna
118,Method Statement,/var/www/html/public/uploads/companies/118,9026,.pdf,TRANSFER,,MS_CRS_VM_2_v1_Antenna Install_New Steelwork.pdf,MS_CRS_VM_2_v1_Antenna Install_New Steelwork.pdf,Antenna Install - New steelwork
118,Method Statement,/var/www/html/public/uploads/companies/118,9027,.pdf,TRANSFER,,MS_CRS_VM_1_v1_Antenna Install.pdf,MS_CRS_VM_1_v1_Antenna Install.pdf,Antenna Install
