Site ID,Site Name,Blackknight Location,Blacknight Filename,Target Site Destination Folder,Target Site File Name
TDL7310,Bundoran,/var/www/html/public/uploads/sites/TDL7310/Access/,TC016_TDL7310 Site Access Info Bundoran.pdf,,TC016_TDL7310 Site Access Info Bundoran.pdf
TCK3002,Bweeng,/var/www/html/public/uploads/sites/Bweeng 30m - TCK3022/Access/,TC016_TCK3022 Site Access Info Bweeng 30m.pdf,,TC016_TCK3022 Site Access Info Bweeng 30m.pdf
TCK3002,Bweeng,/var/www/html/public/uploads/sites/Bweeng 47m - TCK3002/Access/,TC016_TCK3002 Site Access Info Bweeng 47m.pdf,,TC016_TCK3002 Site Access Info Bweeng 47m.pdf
TDU5045,Cabra,/var/www/html/public/uploads/sites/TDU5045/Access/,TC016_TDU5045 Site Access Info Cabra.pdf,,TC016_TDU5045 Site Access Info Cabra.pdf
TKY1008,Caherdaniel,/var/www/html/public/uploads/sites/Caherdaniel - TKY1008/Access/,TC016_TKY1008 Site Access Info Caherdaniel.pdf,,TC016_TKY1008 Site Access Info Caherdaniel.pdf
TKY6431,Caherdaniel,/var/www/html/public/uploads/sites/Caherdaniel - TKY6031/Access/,TC016_TKY6031 Site Access Info Caherdaniel.pdf,,TC016_TKY6031 Site Access Info Caherdaniel.pdf
TLK7312,Caherdavin,/var/www/html/public/uploads/sites/TLK7312/Access/,TC016_TLK7312 Site Access Info Caherdavin.pdf,,TC016_TLK7312 Site Access Info Caherdavin.pdf
TWX2007,Campile,/var/www/html/public/uploads/sites/Campile - TWX2007/Access/,TC016_TWX2007 Site Access Info Campile.pdf,,TC016_TWX2007 Site Access Info Campile.pdf
TLS1010,Capard,/var/www/html/public/uploads/sites/Capard 21m - TLS1044/Access/,TC016_TLS1044 Site Access Info Capard 21m.pdf,,TC016_TLS1044 Site Access Info Capard 21m.pdf
TLS1010,Capard,/var/www/html/public/uploads/sites/Capard 38m - TLS1010/Access/,TC016_TLS1010 Site Access Info Capard 38m.pdf,,TC016_TLS1010 Site Access Info Capard 38m.pdf
TKE1009,Cappagh,/var/www/html/public/uploads/sites/Cappagh - TKE1009/Access/,TC016_TKE1009 Site Access Info Cappagh.pdf,,TC016_TKE1009 Site Access Info Cappagh.pdf
TKY1011,Capparoe,/var/www/html/public/uploads/sites/Capparoe - TKY1011/Access/,TC016_TKY1011 Site Access Info Capparoe.pdf,,TC016_TKY1011 Site Access Info Capparoe.pdf
TGY1012,Cappataggle,/var/www/html/public/uploads/sites/Cappataggle 41m - TGY1046/Access/,TC016_TGY1046 Site Access Info Cappataggle 41m.pdf,,TC016_TGY1046 Site Access Info Cappataggle 41m.pdf
TGY1012,Cappataggle,/var/www/html/public/uploads/sites/Cappataggle 47m - TGY1012/Access/,TC016_TGY1012 Site Access Info Cappataggle 47m.pdf,,TC016_TGY1012 Site Access Info Cappataggle 47m.pdf
TMH5050,Carlanstown,/var/www/html/public/uploads/sites/TMH5050/Access/,TC016_TMH5050 Site Access Info Carlanstown.pdf,,TC016_TMH5050 Site Access Info Carlanstown.pdf
TCW5053,Carlow Town Centre,/var/www/html/public/uploads/sites/TCW5053/Access/,TC016_TCW5053 Site Access Info Carlow Town Centre.pdf,,TC016_TCW5053 Site Access Info Carlow Town Centre.pdf
TCW5052,Carlow Town North,/var/www/html/public/uploads/sites/TCW5052/Access/,TC016_TCW5052 Site Access Info Carlow Town North.pdf,,TC016_TCW5052 Site Access Info Carlow Town North.pdf
TDL6312,Carndonagh,/var/www/html/public/uploads/sites/Carndonagh - TDL6012/Access/,TC016_TDL6012 Site Access Info Carndonagh.pdf,,TC016_TDL6012 Site Access Info Carndonagh.pdf
TCE1013,Carran,/var/www/html/public/uploads/sites/Carran - TCE1013/Access/,TC016_TCE1013 Site Access Info Carran.pdf,,TC016_TCE1013 Site Access Info Carran.pdf
TMN2008,Carrickmacross,/var/www/html/public/uploads/sites/Carrickmacross - TMN2008/Access/,TC016_TMN2008 Site Access Info Carrickmacross.pdf,,TC016_TMN2008 Site Access Info Carrickmacross.pdf
TTP3003,Carrigadoon Hill,/var/www/html/public/uploads/sites/Carrigadoon Hill - TTP3003/Access/,TC016_TTP3003 Site Access Info Carrigadoon Hill.pdf,,TC016_TTP3003 Site Access Info Carrigadoon Hill.pdf
TGY6020,Cashel,/var/www/html/public/uploads/sites/Cashel - TGY6020/Access/,TC016_TGY6020 Site Access Info Cashel.pdf,,TC016_TGY6020 Site Access Info Cashel.pdf
TSO2009,Cashelgarren,/var/www/html/public/uploads/sites/Cashelgarren - TSO2009/Access/,TC016_TSO2009 Site Access Info Cashelgarren.pdf,,TC016_TSO2009 Site Access Info Cashelgarren.pdf
TMO2010,Castlebar,/var/www/html/public/uploads/sites/Castlebar - TMO2010/Access/,TC016_TMO2010 Site Access Info Castlebar.pdf,,TC016_TMO2010 Site Access Info Castlebar.pdf
TCK2011,Castletownbere,/var/www/html/public/uploads/sites/Castletownbere - TCK2011/Access/,TC016_TCK2011 Site Access Info Castletownbere.pdf,,TC016_TCK2011 Site Access Info Castletownbere.pdf
TCN7315,Cavan,/var/www/html/public/uploads/sites/TCN7315/Access/,TC016_TCN7315 Site Access Info Cavan.pdf,,TC016_TCN7315 Site Access Info Cavan.pdf
TKE6435,Celbridge,/var/www/html/public/uploads/sites/Celbridge - TKE6035/Access/,TC016_TKE6035 Site Access Info Celbridge.pdf,,TC016_TKE6035 Site Access Info Celbridge.pdf
TCK2012,Churchfield,/var/www/html/public/uploads/sites/Churchfield - TCK2012/Access/,TC016_TCK2012 Site Access Info Churchfield.pdf,,TC016_TCK2012 Site Access Info Churchfield.pdf
TDU4004,City West,/var/www/html/public/uploads/sites/City West - TDU4004/Access/,TC016_TDU4004 Site Access Info City West.pdf,,TC016_TDU4004 Site Access Info City West.pdf
TKE6336,Clane,/var/www/html/public/uploads/sites/Clane - TKE6036/Access/,TC016_TKE6036 Site Access Info Clane.pdf,,TC016_TKE6036 Site Access Info Clane.pdf
TGY1014,Clifden O'Malley,/var/www/html/public/uploads/sites/Clifden O'Malley - TGY1014/Access/,TC016_TGY1014 Site Access Info Clifden O'Malley.pdf,,TC016_TGY1014 Site Access Info Clifden O'Malley.pdf
TGY6021,Clonbern,/var/www/html/public/uploads/sites/Clonbern - TGY6021/Access/,TC016_TGY6021 Site Access Info Clonbern.pdf,,TC016_TGY6021 Site Access Info Clonbern.pdf
